id,Name,Cost,Unit,Title,Description,Keywords,Steel_grade,Sawing,Standard,Diameter,Height,Width,Thickness,Section,Coating,View,Brinell_hardness
327,Труба 35х6 ст20 ГК,33500,ton,Труба 35х6 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 35х6 из стали 20,"Где купить трубу 35х6 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 35х6! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 35х6 ст20, купить трубу 35х6 ст20, труба 35х6 ст20 цена, труба бесшовная 35х6, купить трубу 35х6",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
328,Труба 38х3 ст20 ГК,31000,ton,Труба 38х3 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 38х3 из стали 20,"Где купить трубу 38х3 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 38х3! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 38х3 ст20, купить трубу 38х3 ст20, труба 38х3 ст20 цена, купить трубу 38х3",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
329,Труба 38х4 ст20 ГК,31000,ton,Труба 38х4 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 38х4 из стали 20,"Где купить трубу 38х4 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 38х4! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 38х4 ст20, купить трубу 38х4 ст20, труба 38х4 ст20 цена, купить трубу 38х4",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
330,Труба 38х5 ст20,29500,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
331,Труба 38х6 ст20 ГК,33500,ton,Труба 38х6 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 38х6 из стали 20,"Где купить трубу 38х6 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 38х6! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 38х6 ст20, купить трубу 38х6 ст20, труба 38х6 ст20 цена, купить трубу 38х6",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
332,Труба 40х4 ст20 ГК,31000,ton,Труба 40х4 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 40х4 из стали 20,"Где купить трубу 40х4 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 40х4! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 40х4 ст20, купить трубу 40х4 ст20, труба 40х4 ст20 цена, купить трубу 40х4",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
333,Труба 40х5 ст20 ГК,33500,ton,Труба 40х5 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 40х5 из стали 20,"Где купить трубу 40х5 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 40х5! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 40х5 ст20, купить трубу 40х5 ст20, труба 40х5 ст20 цена, купить трубу 40х5",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
334,Труба 40х8 ст20 ГК,33500,ton,Труба 40х8 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 40х8 из стали 20,"Где купить трубу 40х8 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 40х8! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 40х8 ст20, купить трубу 40х8 ст20, труба 40х8 ст20 цена, купить трубу 40х8",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
335,Труба 40х10 ст20 ГК,33500,ton,Труба 40х10 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 40х10 из стали 20,"Где купить трубу 40х10 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 40х10! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 40х10 ст20, купить трубу 40х10 ст20, труба 40х10 ст20 цена, купить трубу 40х10",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
336,Труба 42х3 ст20 ГК,28000,ton,Труба 42х3 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 42х3 из стали 20,"Где купить трубу 42х3 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 42х3! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 42х3 ст20, купить трубу 42х3 ст20, труба 42х3 ст20 цена, купить трубу 42х3",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
337,Труба 42х4 ст20 ГК,28000,ton,Труба 42х4 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 42х4 из стали 20,"Где купить трубу 42х4 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 42х4! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 42х4 ст20, купить трубу 42х4 ст20, труба 42х4 ст20 цена, купить трубу 42х4",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
338,Труба 42х5 ст20 ГК,31000,ton,Труба 42х5 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 42х5 из стали 20,"Где купить трубу 42х5 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 42х5! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 42х5 ст20, купить трубу 42х5 ст20, труба 42х5 ст20 цена, купить трубу 42х5",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
339,Труба 42х6 ст20,29000,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
340,Труба 42х8 ст20 ГК,31000,ton,Труба 42х8 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 42х8 из стали 20,"Где купить трубу 42х8 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 42х8! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 42х8 ст20, купить трубу 42х8 ст20, труба 42х8 ст20 цена, купить трубу 42х8",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
341,Труба 42х10 ст20 ГК,31000,ton,Труба 42х10 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 42х10 из стали 20,"Где купить трубу 42х10 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 42х10! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 42х10 ст20, купить трубу 42х10 ст20, труба 42х10 ст20 цена, купить трубу 42х10",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
342,Труба 42х12 ст20 ГК,31000,ton,Труба 42х12 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 42х12 из стали 20,"Где купить трубу 42х12 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 42х12! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 42х12 ст20, купить трубу 42х12 ст20, труба 42х12 ст20 цена, купить трубу 42х12",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
343,"Труба 42,2х3,56 ст20",28000,ton,"Труба 42,2х3,56 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 42,2х3,56 из стали 20","Где купить трубу 42,2х3,56 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 42,2х3,56! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45",,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
344,Труба 45х5 ст20 ГК,31000,ton,Труба 45х5 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 45х5 из стали 20,"Где купить трубу 45х5 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 45х5! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 45х5 ст20, купить трубу 45х5 ст20, труба 45х5 ст20 цена, купить трубу 45х5",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
346,Труба 45х6 ст20 ГК,31000,agreed,Труба 45х6 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 45х6 из стали 20,"Где купить трубу 45х6 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 45х6! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 45х6 ст20, купить трубу 45х6 ст20, труба 45х6 ст20 цена, купить трубу 45х6",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
347,Труба 45х8 ст20 ГК,31000,ton,Труба 45х8 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 45х8 из стали 20,"Где купить трубу 45х8 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 45х8! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 45х8 ст20, купить трубу 45х8 ст20, труба 45х8 ст20 цена, купить трубу 45х8",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
348,Труба 45х10 ст20,31000,ton,Труба 45х10 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 45х10 из стали 20,"Где купить трубу 45х10 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 45х10! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 45х10 ст20, купить трубу 45х10 ст20, труба 45х10 ст20 цена, купить трубу 45х10",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
349,Труба 47х3 ст20 ГК,28000,ton,Труба 47х3 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 47х3 из стали 20,"Где купить трубу 47х3 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 47х3! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 47х3 ст20, купить трубу 47х3 ст20, труба 47х3 ст20 цена, купить трубу 47х3",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
350,Труба 48х3 ст20 ГК,28000,ton,Труба 48х3 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 48х3 из стали 20,"Где купить трубу 48х3 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 48х3! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 48х3 ст20, купить трубу 48х3 ст20, труба 48х3 ст20 цена, купить трубу 48х3",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
351,"Труба 48х3,5 ст20",28000,ton,"Труба 48х3,5 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 48х3,5 из стали 20","Где купить трубу 48х3,5 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 48х3,5! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 48х3 5 ст20, купить трубу 48х3 5 ст20, труба 48х3 5 ст20 цена, купить трубу 48х3 5",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
352,Труба 48х4 ст20,27000,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
353,Труба 48х6 ст20 ГК,31000,ton,Труба 48х6 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 48х6 из стали 20,"Где купить трубу 48х6 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 48х6! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 48х6 ст20, купить трубу 48х6 ст20, труба 48х6 ст20 цена, купить трубу 48х6",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
354,Труба 48х8 ст20 ГК,31000,ton,Труба 48х8 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 48х8 из стали 20,"Где купить трубу 48х8 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 48х8! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 48х8 ст20, купить трубу 48х8 ст20, труба 48х8 ст20 цена, купить трубу 48х8",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
355,Труба 48х10 ст20 ГК,31000,ton,Труба 48х10 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 48х10 из стали 20,"Где купить трубу 48х10 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 48х10! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 48х10 ст20, купить трубу 48х10 ст20, труба 48х10 ст20 цена, купить трубу 48х10",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
356,Труба 48х11 ст20 ГК,31000,ton,Труба 48х11 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 48х11 из стали 20,"Где купить трубу 48х11 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 48х11! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 48х11 ст20, купить трубу 48х11 ст20, труба 48х11 ст20 цена, купить трубу 48х11",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
357,"Труба 48,3х3 ст20 ГК",28000,ton,"Труба 48,3х3 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 48,3х3 из стали 20","Где купить трубу 48,3х3 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 48,3х3! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 48 3х3 ст20, купить трубу 48 3х3 ст20, труба 48 3х3 ст20 цена, купить трубу 48 3х3",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
358,Труба 50х3 ст20 ГК,28000,ton,Труба 50х3 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 50х3 из стали 20,"Где купить трубу 50х3 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 50х3! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 50х3 ст20, купить трубу 50х3 ст20, труба 50х3 ст20 цена, купить трубу 50х3",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
359,Труба 50х4 ст20 ГК,28000,ton,Труба 50х4 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 50х4 из стали 20,"Где купить трубу 50х4 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 50х4! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 50х4 ст20, купить трубу 50х4 ст20, труба 50х4 ст20 цена, купить трубу 50х4",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
360,Труба 50х6 ст20 ГК,31000,ton,Труба 50х6 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 50х6 из стали 20,"Где купить трубу 50х6 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 50х6! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 50х6 ст20, купить трубу 50х6 ст20, труба 50х6 ст20 цена, купить трубу 50х6",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
361,Труба 50х8 ст20 ГК,31000,ton,Труба 50х8 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 50х8 из стали 20,"Где купить трубу 50х8 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 50х8! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 50х8 ст20, купить трубу 50х8 ст20, труба 50х8 ст20 цена, купить трубу 50х8",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
362,Труба 50х10 ст20 ГК,31000,ton,Труба 50х10 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 50х10 из стали 20,"Где купить трубу 50х10 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 50х10! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 50х10 ст20, купить трубу 50х10 ст20, труба 50х10 ст20 цена, купить трубу 50х10",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
363,Труба 50х12 ст20 ГК,31000,ton,Труба 50х12 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 50х12 из стали 20,"Где купить трубу 50х12 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 50х12! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 50х12 ст20, купить трубу 50х12 ст20, труба 50х12 ст20 цена, купить трубу 50х12",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
364,Труба 51х3 ст20 ГК,28000,ton,Труба 51х3 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 51х3 из стали 20,"Где купить трубу 51х3 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 51х3! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 51х3 ст20, купить трубу 51х3 ст20, труба 51х3 ст20 цена, купить трубу 51х3",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
365,Труба 51х4 ст20,27000,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
366,Труба 51х5 ст20 ГК,31000,ton,Труба 51х5 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 51х5 из стали 20,"Где купить трубу 51х5 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 51х5! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 51х5 ст20, купить трубу 51х5 ст20, труба 51х5 ст20 цена, купить трубу 51х5",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
367,Труба 51х10 ст20,31000,ton,Труба 51х10 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 51х10 из стали 20,"Где купить трубу 51х10 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 51х10! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 51х10 ст20, купить трубу 51х10 ст20, труба 51х10 ст20 цена, купить трубу 51х10",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
368,Труба 53х12 ст20 ГК,31000,ton,Труба 53х12 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 53х12 из стали 20,"Где купить трубу 53х12 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 53х12! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 53х12 ст20, купить трубу 53х12 ст20, труба 53х12 ст20 цена, купить трубу 53х12",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
369,Труба 54х4 ст45 ГК,17000,ton,Труба 54х4 ст45 купить в Киеве. Лучшая цена за метр горячекатаной трубы 54х4 из стали 45,"Где купить трубу 54х4 ст45 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 54х4! ГОСТ 8732, сталь 45. Звоните: (044) 503-50-45","труба 54х4 ст45, купить трубу 54х4 ст45, труба 54х4 ст45 цена, купить трубу 54х4",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
